ردیف,کالکشن,نام گیفت,شماره,تخفیف,کمیابی,لینک تلگرام,لینک MarketApp
1,Big Year,Big Year #17367,17367,-50.0%,معمولی,https://t.me/nft/BigYear-17367,https://marketapp.org/nft/EQAoW9dhCJA5vSYKO-feSSYhIYSKYqOoPhnXFhMuyoRPA2U3/?to=rent
2,Big Year,Big Year #35032,35032,-50.0%,معمولی,https://t.me/nft/BigYear-35032,https://marketapp.org/nft/EQA0R9aiN00mE5WYT2e7ijReKIypAi_fbf9ohjqOOupF23tr/?to=rent
3,Big Year,Big Year #35806,35806,-50.0%,معمولی,https://t.me/nft/BigYear-35806,https://marketapp.org/nft/EQBfRchuYLB-BCF9zPUo3D4B_9iEevTFHi6-JrfIvlTQ_5yv/?to=rent
4,Bunny Muffin,Bunny Muffin #41613,41613,-50.0%,معمولی,https://t.me/nft/BunnyMuffin-41613,https://marketapp.org/nft/EQCSYh80yaTb0f4Atc8KO1Yu-cmVsnfJWzW2LulV1FEvST5J/?to=rent
5,Chill Flame,Chill Flame #438237,438237,-50.0%,معمولی,https://t.me/nft/ChillFlame-438237,https://marketapp.org/nft/EQDo7F_jz0nb676UF7SnDr6TjbiOsk5WmTD15LzdXvtaXX-b/?to=rent
6,Chill Flame,Chill Flame #438484,438484,-50.0%,معمولی,https://t.me/nft/ChillFlame-438484,https://marketapp.org/nft/EQBk48vC5HP8IYGwZ-po59MXwgzx10bdCImaBC3uWKxQHP9x/?to=rent
7,Chill Flame,Chill Flame #438645,438645,-50.0%,معمولی,https://t.me/nft/ChillFlame-438645,https://marketapp.org/nft/EQBDg7FGOS8yVp4k1LrsLW-eEcd0S8B7tOgQwUVzNflbsGxa/?to=rent
8,Chill Flame,Chill Flame #438892,438892,-50.0%,معمولی,https://t.me/nft/ChillFlame-438892,https://marketapp.org/nft/EQAUq849aqtHjlyp4-tUj0I1FIYVb29_ylZAXPgUUsnRjGLf/?to=rent
9,Chill Flame,Chill Flame #438895,438895,-50.0%,معمولی,https://t.me/nft/ChillFlame-438895,https://marketapp.org/nft/EQDdwpmLmBFFFvBSfGNBTsWC9Af82I1eYjumTSmNDjKnP99C/?to=rent
10,Clover Pin,Clover Pin #88113,88113,-50.0%,معمولی,https://t.me/nft/CloverPin-88113,https://marketapp.org/nft/EQCaii96io7WXVl-gisDdOUK78j_3YJPu1wcLR5H1UBYTYNb/?to=rent
11,Clover Pin,Clover Pin #88501,88501,-50.0%,معمولی,https://t.me/nft/CloverPin-88501,https://marketapp.org/nft/EQD79OrEhGhV4KXe5x2cCnO0-ObHD2PixOmNsfO5mEH_qB1G/?to=rent
12,Clover Pin,Clover Pin #138251,138251,-50.0%,معمولی,https://t.me/nft/CloverPin-138251,https://marketapp.org/nft/EQB5DYl46dbOk07esEY3PgBvuRuNrdYtqwfngyDbWJZqGPBc/?to=rent
13,Cookie Heart,Cookie Heart #13075,13075,-50.0%,معمولی,https://t.me/nft/CookieHeart-13075,https://marketapp.org/nft/EQB7EzyjWi-7lT8NiVRIemTdoOPqYfR9eKfQEmCfeA3mvpcr/?to=rent
14,Cookie Heart,Cookie Heart #54722,54722,-50.0%,معمولی,https://t.me/nft/CookieHeart-54722,https://marketapp.org/nft/EQCWyuuMb5RxMvAMm22cMNt6gccsPM74CcbKSa_Qrdk1cFeL/?to=rent
15,Crystal Ball,Crystal Ball #3049,3049,-50.0%,معمولی,https://t.me/nft/CrystalBall-3049,https://marketapp.org/nft/EQCTOitFuDhGOu7_8Jvz8QGz897xQQwhl3lsBeYyo56iB2Hb/?to=rent
16,Crystal Ball,Crystal Ball #4722,4722,-50.0%,معمولی,https://t.me/nft/CrystalBall-4722,https://marketapp.org/nft/EQDA7MaGhu6ORj3UATbYZA44Iiu9XOIjTUcwgmxlQlX5uyDC/?to=rent
17,Desk Calendar,Desk Calendar #28770,28770,-50.0%,معمولی,https://t.me/nft/DeskCalendar-28770,https://marketapp.org/nft/EQCWRZx1FvuBJbFIXta6riwF22iHM7JsfUyjTU1FDoQeyVt_/?to=rent
18,Easter Egg,Easter Egg #106457,106457,-50.0%,معمولی,https://t.me/nft/EasterEgg-106457,https://marketapp.org/nft/EQAmltBM-0Ef19MVeZfzFCdflZ91KhdKWILtWFGsMWXlqGPw/?to=rent
19,Easter Egg,Easter Egg #106474,106474,-50.0%,معمولی,https://t.me/nft/EasterEgg-106474,https://marketapp.org/nft/EQBvRg_023FuWGFbqB3TbD_XbrP2RMrLtY5W7ZpmCfEhPLXo/?to=rent
20,Eternal Candle,Eternal Candle #1151,1151,-50.0%,معمولی,https://t.me/nft/EternalCandle-1151,https://marketapp.org/nft/EQAy4Fp9NdbkGyL1K6thr_WlzhPUn7F85OcUeLVM-09lJc0n/?to=rent
21,Evil Eye,Evil Eye #30741,30741,-50.0%,معمولی,https://t.me/nft/EvilEye-30741,https://marketapp.org/nft/EQCdKbCWJJfaR25nvf4-vneTgGgQVyPTMFT7nOx-2OXjIU4e/?to=rent
22,Fresh Socks,Fresh Socks #60968,60968,-50.0%,معمولی,https://t.me/nft/FreshSocks-60968,https://marketapp.org/nft/EQBhNkSJElMzPTK0tiRLitGzYL0Rahsc3c276uC1dJkKXiGr/?to=rent
23,Fresh Socks,Fresh Socks #61087,61087,-50.0%,معمولی,https://t.me/nft/FreshSocks-61087,https://marketapp.org/nft/EQAcCEguZHwq-q4D4Lb5o0txYa-82nEKLWkOnQNcrIu8DWpt/?to=rent
24,Fresh Socks,Fresh Socks #61169,61169,-50.0%,معمولی,https://t.me/nft/FreshSocks-61169,https://marketapp.org/nft/EQCfGrOHaVVjti96V5Y1CzsHwY3HMW99m6HRfLI-J4i9g3zM/?to=rent
25,Ginger Cookie,Ginger Cookie #19207,19207,-50.0%,معمولی,https://t.me/nft/GingerCookie-19207,https://marketapp.org/nft/EQCd8IoDYDhrr93atg96WPuLlgw3Zj8zrHaxaoPRvIbTMRIu/?to=rent
